CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Tenure_Group,R_Score,F_Score,M_Score,RFM_Score
50001,1,4,Mobile Phone,3,6,Debit Card,Female,3,3,Laptop & Accessory,2,Single,9,1,11,1,1,5,159.93,Recent (3-6 months),2,1,2,5
50002,1,10,Mobile Phone,1,8,UPI,Male,3,4,Mobile Phone,3,Single,7,1,15,0,1,0,120.9,Stable (6-12 months),3,1,1,5
50003,1,10,Mobile Phone,1,30,Debit Card,Male,2,4,Mobile Phone,3,Single,6,1,14,0,1,3,120.28,Stable (6-12 months),2,1,1,4
50004,1,0,Mobile Phone,3,15,Debit Card,Male,2,4,Laptop & Accessory,5,Single,8,0,23,0,1,3,134.07,New (< 3 months),2,1,1,4
50005,1,0,Mobile Phone,1,12,Credit Card,Male,3,3,Mobile Phone,5,Single,3,0,11,1,1,3,129.6,New (< 3 months),2,1,1,4
50006,1,0,Computer,1,22,Debit Card,Female,3,5,Mobile Phone,5,Single,2,1,22,4,6,7,139.19,New (< 3 months),1,3,1,5
50007,1,10,Mobile Phone,3,11,Cash on Delivery,Male,2,3,Laptop & Accessory,2,Divorced,4,0,14,0,1,0,120.86000000000001,Stable (6-12 months),3,1,1,5
50008,1,10,Mobile Phone,1,6,Credit Card,Male,3,3,Mobile Phone,2,Divorced,3,1,16,2,2,0,122.93,Stable (6-12 months),3,1,1,5
50009,1,13,Mobile Phone,3,9,E wallet,Male,3,4,Mobile Phone,3,Divorced,2,1,14,0,1,2,126.83000000000001,Loyal (12+ months),3,1,1,5
50010,1,10,Mobile Phone,1,31,Debit Card,Male,2,5,Mobile Phone,3,Single,2,0,12,1,1,1,122.93,Stable (6-12 months),3,1,1,5
50011,1,4,Mobile Phone,1,18,Cash on Delivery,Female,2,3,Others,3,Divorced,2,0,16,9,15,8,295.45,Recent (3-6 months),1,3,3,7
50012,1,11,Mobile Phone,1,6,Debit Card,Male,3,4,Fashion,3,Single,10,1,13,0,1,0,153.81,Stable (6-12 months),3,1,2,6
50013,1,0,Mobile Phone,1,11,Cash on Delivery,Male,2,3,Mobile Phone,3,Single,2,1,13,2,2,2,134.41,New (< 3 months),3,1,1,5
50014,1,0,Mobile Phone,1,15,Credit Card,Male,3,4,Mobile Phone,3,Divorced,1,1,17,0,1,0,133.88,New (< 3 months),3,1,1,5
